λ,cv(N),cv(N^2),cv(N)^2,non-mult,INFO:
0.032,1.475997806424573,2.8126079998999653,2.178569524570151,0.6340384753298145,nothing
0.033,1.4752486680379677,2.806900490980223,2.1763586325477977,0.6305418584324252,nothing
0.034,1.4744989398068267,2.8012019999270845,2.174147123491456,0.6270548764356287,nothing
0.035,1.4737491019763893,2.795512499932602,2.171936415576214,0.623576084356388,nothing
0.036,1.4729992192280215,2.7898320000590693,2.1697266998463607,0.6201053002127086,nothing
0.037,1.472249306583425,2.784160499960966,2.167518020735376,0.61664247922559,nothing
0.038,1.4714993693055012,2.7784980000895247,2.1653103938664877,0.613187606223037,nothing
0.039,1.470749411233455,2.7728444999075412,2.1631038306435544,0.6097406692639868,nothing
0.04,1.4699999345371595,2.7672000000856105,2.1608998075392534,0.6063001925463571,nothing
0.041,1.469249943166358,2.7615645000268056,2.158695395494346,0.6028691045324597,nothing
0.042,1.46849995061475,2.7559380007195906,2.1564921049555235,0.5994458957640671,nothing
0.043,1.4677497462108424,2.750320499989781,2.154289317501992,0.5960311824877889,nothing
0.044,1.4669996698219037,2.744712000562704,2.1520880312575743,0.5926239693051296,nothing
0.045,1.466250000136578,2.7391125001787837,2.1498890629005145,0.5892234372782692,nothing
0.046,1.4654999999114118,2.7335220114380334,2.147690249740348,0.5858317616976856,nothing
0.047,1.4647499999722968,2.7279401648908035,2.1454925624188435,0.58244760247196,nothing
0.048,1.4640001804049785,2.7223679995139647,2.1432965282258096,0.5790714712881551,nothing
0.049,1.463250000222025,2.716804499803337,2.1411005631497564,0.5757039366535808,nothing
0.05,1.462499999892329,2.711249999947242,2.138906249685062,0.57234375026218,nothing
0.051,1.4617500000589292,2.705704560983609,2.1367130626722797,0.5689914983113291,nothing
0.052,1.4610000001323113,2.7001680000030803,2.1345210003866137,0.5656469996164666,nothing
0.053,1.460249999918355,2.6946404998128104,2.1323300622615555,0.5623104375512549,nothing
0.054,1.4594999999633367,2.689122000718859,2.1301402498929796,0.5589817508258794,nothing
0.055,1.458749999787901,2.6836125771126085,2.127951561881201,0.5556610152314074,nothing
0.056,1.4580000001832198,2.67811199958933,2.1257640005342693,0.5523479990550606,nothing
0.057,1.457250000116052,2.6726205000495318,2.1235775628382334,0.5490429372112984,nothing
0.058,1.4564999998712942,2.667138000102929,2.12139224962508,0.5457457504778489,nothing
0.059,1.455749999832006,2.661664498148321,2.1192080620108857,0.5424564361374351,nothing
0.06,1.454999999952074,2.6562000000000277,2.117024999860535,0.5391750001394926,nothing
0.061,1.454250000200487,2.6507444999039973,2.1148430630831165,0.5359014368208808,nothing
0.062,1.4535000000052363,2.645297999955318,2.1126622500152217,0.5326357499400962,nothing
0.063,1.4527500319850934,2.6398605001492865,2.11048265543269,0.5293778447165964,nothing
0.064,1.4520000000002957,2.634431999892808,2.108304000000859,0.526127999891949,nothing
0.065,1.451250000240106,2.6290124999838036,2.106126563196908,0.5228859367868957,nothing
0.066,1.4505000002425799,2.6236020002548,2.103950250703724,0.519651749551076,nothing
0.067,1.4497499999165118,2.6182005000666986,2.101775062257926,0.5164254378087727,nothing
0.068,1.4489999999368612,2.612808000187581,2.099600999817024,0.5132070003705569,nothing
0.069,1.4482500001131953,2.6074245002106746,2.0974280628278703,0.5099964373828043,nothing
0.07,1.44749999978749,2.602049999814148,2.0952562493847835,0.5067937504293645,nothing
0.071,1.4467500001069948,2.596684500144658,2.0930855628095895,0.5035989373350684,nothing
0.072,1.4459999999481372,2.59132799969851,2.090915999850013,0.500411999848497,nothing
0.073,1.4452499999429524,2.585980500176355,2.088747562335104,0.4972329378412512,nothing
